Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Conflict Resolution Role-Play,A play-based activity for strengthening conflict resolution.,"Children this age can begin to name feelings and see another point of view, with support. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Act out a common conflict and try different resolutions. Role-playing the resolution builds the script for real situations.,Social-Emotional,5–10 min,None,3y–3y3m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Emotion Intensity Scale,A hands-on challenge that builds emotional regulation and vocabulary.,"This builds emotional understanding and social confidence at the age when both start to matter outside home. Let your child take the lead and follow their ideas, even when they are stranger than yours.",How big are your feelings? A little bit or a LOT?' Emotion intensity awareness before intensity regulation.,Social-Emotional,5–8 min,None,3y–3y3m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Plan Activity Together,A play-based activity for strengthening social skills and emotional understanding.,"Children this age can begin to name feelings and see another point of view, with support. Let your child take the lead and follow their ideas, even when they are stranger than yours.",What shall we do this afternoon? What do we need? What should we do first?' Child-led planning with support.,Social-Emotional,5–10 min,None,3y–3y3m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Appreciate Differences,A play-based activity for strengthening friendship and cooperative play.,"Children this age can begin to name feelings and see another point of view, with support. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Your friend likes climbing. You like painting. Both are great.' Differences in preference as valid and interesting: not better/worse.,Social-Emotional,Ongoing,None,3y–3y3m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Celebrate Others' Successes,A play-based activity for strengthening friendship and cooperative play.,"Children this age can begin to name feelings and see another point of view, with support. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",When a friend achieves something: 'How do you feel about what they did? Can you tell them?' Pro-social emotion building.,Social-Emotional,Ongoing,None,3y–3y3m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Clay Sculpture,A play-based activity for strengthening tactile discrimination.,"Sensory experience supports attention and regulation, and children this age still need plenty of it. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Make something from clay without a model or prompt. Imagination into 3D form: high-level creative and fine motor combined.,Sensory,15–20 min,Clay or atta dough,3y–3y3m,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Sound Mapping,A play-based activity for strengthening auditory discrimination.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Draw a map of sounds heard in the house: kitchen sounds, garden sounds. Audio representation in a visual medium.",Sensory,10–15 min,Paper and crayons,3y–3y3m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Texture Collage,A play-based activity for strengthening tactile discrimination.,Hands-on sensory work builds both discrimination and the vocabulary to describe what they notice. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,"Collect 10 different textures (sandpaper, foil, fabric, bark) and stick on card. The making and the touching are both the activity.",Sensory,15–20 min,"Various texture samples, card, glue",3y–3y3m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Cooking Mix Pour,A play-based activity for strengthening water play and sensory exploration.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Involve child in making a simple dish: pancake batter, lemonade. Measuring, pouring, mixing = sensory + numeracy + fine motor.",Sensory,20–30 min,Cooking ingredients and tools,3y–3y3m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Mindful Breathing,An activity that develops sensory discrimination and integration.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Let's take 3 big breaths together. In through the nose, out through the mouth.' Begin building breath as a self-regulation tool.",Sensory,2–3 min,None,3y–3y3m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Dress Completely Independently,A play-based activity for strengthening dressing independence.,"This develops the independence that starting school will require. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Full dress sequence independently except challenging fastenings. Independence in self-care is as developmental as any skill.,Self-Care & Adaptive,10–15 min,Clothing,3y–3y3m,AOTA Activities of Daily Living; NAEYC Developmentally Appropriate Practice; IAP
Make Own Breakfast,A hands-on challenge that builds independent eating and serving.,This develops the independence that starting school will require. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,"Pour cereal, peel banana, spread butter on toast. Self-feeding preparation builds agency, fine motor, and self-reliance.",Self-Care & Adaptive,10–15 min,Simple breakfast items,3y–3y3m,AOTA Activities of Daily Living; NAEYC Developmentally Appropriate Practice; IAP
Skip Change Direction,"A hands-on challenge that builds jumping, hopping and skipping.","This builds coordination and control at exactly the point where a child can start to see their own improvement. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Skip, then on a signal change direction. Changing a skill mid-execution is a high-level motor planning task.",Gross Motor,5–10 min,None,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Kick Moving Ball,A hands-on challenge that builds kicking and foot control.,"At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Kick a ball rolled toward them: timing a kick to a moving target is significantly harder than kicking a stationary one.,Gross Motor,5–10 min,Ball,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Hop Distance,"An activity that develops jumping, hopping and skipping.","At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Hop across a room on one foot: 5+ metres. Distance hopping builds stamina as well as motor control.,Gross Motor,5–10 min,None,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Beam Walk Backward,A hands-on challenge that builds balance and postural control.,"At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","With you standing right beside them ready to steady them, walk backward along a tape line without stepping off. Backward balance beam requires proprioceptive awareness.",Gross Motor,5–8 min,Tape line,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
vs Jog Signal,A hands-on challenge that builds running and agility.,"This builds coordination and control at exactly the point where a child can start to see their own improvement. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Run at full speed to a point when they hear 'go', slow to a jog on 'slow.' Speed modulation on command.",Gross Motor,5–10 min,Open space,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Catch Both Hands,"An activity that develops throwing, catching and hand-eye coordination.","At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Catching a tennis-ball-sized object thrown from 2 m with two hands closing at the right moment.,Gross Motor,5–10 min,Tennis ball,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Jump Rope II,"An activity that develops jumping, hopping and skipping.","At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Begin learning to turn a short rope independently and jump. Step over first, then small jumps, then rhythmic jumping.",Gross Motor,10–15 min,Short rope,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Side Slide Steps,A play-based activity for strengthening coordination and physical confidence.,"This builds coordination and control at exactly the point where a child can start to see their own improvement. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Step-slide-step sideways in both directions. Lateral movement uses a different motor pattern from forward locomotion.,Gross Motor,5–8 min,None,3y3m–3y6m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Copy Initials,An activity that develops pre-writing and letter formation.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","Write first and last name initials without tracing. Letter formation from memory, not visual copying.",Fine Motor,5–10 min,Pencil and paper,3y3m–3y6m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Mosaic Tile Placement,A hands-on challenge that builds drawing control and shape copying.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",Stick small squares of coloured paper onto a grid to make a pattern. Precision placement in a constrained space.,Fine Motor,15–20 min,"Small coloured squares, grid paper, glue",3y3m–3y6m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Use Stapler,A hands-on challenge that builds fine motor precision.,"Precision at this age comes from doing things with the hands repeatedly, not from being taught how. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",Supervised stapler use. Knowing the correct pressure and position = tool awareness and fine motor calibration.,Fine Motor,5–10 min,Stapler and paper,3y3m–3y6m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Zig-Zag Cutting,An activity that develops scissor skills and bilateral control.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Cut along a zig-zag line. Directional change while cutting is harder than cutting a curve.,Fine Motor,5–10 min,Child scissors and paper,3y3m–3y6m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Weave Fabric Strips,A play-based activity for strengthening threading and precision.,"Children need strong, controlled hands before letter formation makes sense, and this builds exactly that. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Weave cloth strips over and under cardboard loom slots. Over-under alternation sustained across a whole piece.,Fine Motor,15–20 min,"Cloth strips, cardboard with slots",3y3m–3y6m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Pin-and-Thread Simple Embroidery,A play-based activity for strengthening threading and precision.,"Precision at this age comes from doing things with the hands repeatedly, not from being taught how. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","With an adult supervising closely, thread a large-eyed blunt needle and make a running stitch on open-weave fabric. Tactile + fine motor + sequencing.",Fine Motor,15–20 min,"Large-eyed blunt needle, fabric, thread",3y3m–3y6m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
1500+ Word Vocabulary,An activity that develops vocabulary and description.,"This builds the language your child will use to reason, explain and eventually read. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","At 3y6m, vocabulary is typically 1200–1500 words. Sentences are 5–6 words with complex grammar emerging.",Language & Communication,Ongoing,None,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Write Dictated Sentence,A hands-on challenge that builds expressive and receptive language.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","Say a sentence; child repeats, then writes it with whatever letters they know. Any attempt that maps to the sentence is progress.",Language & Communication,5–10 min,Pencil and paper,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Simple C-V-C Words,A hands-on challenge that builds phonological awareness.,"Children this age learn language best through genuine conversation rather than through being quizzed. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Cat, sat, mat, big, fit. Sound-blending 3-letter words: c-a-t = cat. The first reading bridge.",Language & Communication,5–10 min,Paper with simple words,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Use Conjunctions,A play-based activity for strengthening expressive and receptive language.,"Children this age learn language best through genuine conversation rather than through being quizzed. Let your child take the lead and follow their ideas, even when they are stranger than yours.","I was cold, SO I put on a jumper.' Complex clause connectors = significant grammar sophistication.",Language & Communication,Ongoing,None,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Explain Process Step-by-Step,A play-based activity for strengthening narrative skills and retelling.,"This builds the language your child will use to reason, explain and eventually read. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",How do you make a sandwich? Tell me each step.' Procedural language: sequenced instruction giving.,Language & Communication,5–10 min,None,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Conversation Repair,A hands-on challenge that builds conversation and turn-taking.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","When communication breaks down, teach: 'I don't understand: can you say it a different way?' Repair is advanced pragmatic skill.",Language & Communication,Ongoing,None,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
News Sharing,A hands-on challenge that builds expressive and receptive language.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Daily 'news' time: 'Tell me one important thing that happened today.' Selective recall + reporting = executive + language.,Language & Communication,5–8 min,None,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Simple Crossword,A play-based activity for strengthening vocabulary and description.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Let your child take the lead and follow their ideas, even when they are stranger than yours.","A 3-clue picture crossword. Name the picture, count letters, fill boxes. Reading + counting + writing combined.",Language & Communication,5–10 min,Simple picture crossword,3y3m–3y6m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Add Within 10,An activity that develops number sense and early maths.,"This builds the reasoning and problem-solving that school will draw on, in a form your child can actually enjoy. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",Here are 4 blocks. I give you 3 more. How many altogether?' Count all strategy: touching each object to count.,Cognitive,5–10 min,10 small objects,3y3m–3y6m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Subtract Within 10,An activity that develops number sense and early maths.,"Children this age learn concepts by handling them physically before they can handle them abstractly. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Remove objects from a group and count what remains. Cover the removed objects so child counts only remaining.,Cognitive,5–10 min,10 small objects,3y3m–3y6m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Days Week Order,An activity that develops pattern and sequence recognition.,"Thinking skills at this stage develop through exploration and questions rather than through being taught answers. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Recite days of week reliably in order. Begin linking days to events: 'On Monday we have swimming.',Cognitive,5–8 min,None,3y3m–3y6m,AAP Water Safety; Indian Swimming Federation basic safety norms; IAP
Seasons Concept,A hands-on challenge that builds reasoning and problem-solving.,"Thinking skills at this stage develop through exploration and questions rather than through being taught answers. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Name 4 seasons and one characteristic of each. 'Winter is cold. Summer is hot.' Concept before observation.,Cognitive,5–8 min,None,3y3m–3y6m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Sort Graph,A hands-on challenge that builds number sense and early maths.,"Thinking skills at this stage develop through exploration and questions rather than through being taught answers. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Sort 20 objects into 3 groups. Count each group. Draw a simple bar graph of the results. Data literacy beginning.,Cognitive,10–15 min,"20 small objects, paper",3y3m–3y6m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Living / Non-Living,A play-based activity for strengthening classification and categorisation.,Thinking skills at this stage develop through exploration and questions rather than through being taught answers. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,Is a dog living? Is a chair living?' Living/non-living is the first science classification concept.,Cognitive,5–8 min,Household objects and toy animals,3y3m–3y6m,Harvard Center on the Developing Child (Executive Function); NCERT Foundational Numeracy; IAP
Verbally Before Escalation,An activity that develops emotional regulation and vocabulary.,"Friendships become genuinely important now, and the skills involved are learnable rather than automatic. Let your child take the lead and follow their ideas, even when they are stranger than yours.",I feel like I need a break before I get too frustrated.' Body-awareness + self-advocacy + language = emotional executive function.,Social-Emotional,Ongoing,None,3y3m–3y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Introduce Compromise,A play-based activity for strengthening social skills and emotional understanding.,"This builds emotional understanding and social confidence at the age when both start to matter outside home. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","You want X, I want Y. What if we do X for 10 minutes and then Y?' Compromise as a concept explicitly taught.",Social-Emotional,5–8 min,None,3y3m–3y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Identity I Am...,A hands-on challenge that builds emotional regulation and vocabulary.,"Friendships become genuinely important now, and the skills involved are learnable rather than automatic. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Tell me 5 things about you.' Not what you do: who you are. Self-concept building is the 3-year social-emotional task.,Social-Emotional,5–10 min,None,3y3m–3y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Friendship Maintenance,An activity that develops friendship and cooperative play.,"Friendships become genuinely important now, and the skills involved are learnable rather than automatic. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Your friend seems quiet today. What could you do?' Friendship requires maintenance actions: teach them explicitly.,Social-Emotional,Ongoing,None,3y3m–3y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Handle Disappointment Script,A hands-on challenge that builds emotional regulation and vocabulary.,This builds emotional understanding and social confidence at the age when both start to matter outside home. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,You're disappointed. Let's say what you're feeling and think of one thing that might help.' Disappointment skill.,Social-Emotional,3–5 min,None,3y3m–3y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Gratitude Practice,A play-based activity for strengthening social skills and emotional understanding.,"Friendships become genuinely important now, and the skills involved are learnable rather than automatic. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Name 3 things you're grateful for at dinner. Gratitude practice correlates with wellbeing and prosocial behaviour.,Social-Emotional,3–5 min,None,3y3m–3y6m,CASEL Social-Emotional Framework; NAEYC Developmentally Appropriate Practice; IAP
Cooking Sensory Experience,A play-based activity for strengthening tactile discrimination.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Make chapati or simple bread together. Feel dough, smell cooking, hear sizzle, taste result. All 5 senses in one activity.",Sensory,20–30 min,"Flour, water, pan",3y3m–3y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Ice Melt Science,An activity that develops water play and sensory exploration.,"Sensory experience supports attention and regulation, and children this age still need plenty of it. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Fill ice trays with water + small objects. Freeze. Let child unmelt at room temperature or with warm water. Science + sensory.,Sensory,15–20 min,"Ice tray, water, small objects",3y3m–3y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Weaving Natural Materials,An activity that develops natural sensory environments.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Weave grass, leaves, and twigs through a simple frame. Outdoor sensory + fine motor + creativity.",Sensory,15–20 min,"Sticks for frame, natural materials",3y3m–3y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Mindful Listening,A play-based activity for strengthening sensory discrimination and integration.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Sit quietly for 2 minutes. When timer rings, share 3 things you heard. Auditory attention + metacognition.",Sensory,2–3 min,Timer,3y3m–3y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
or Torch Play,An activity that develops water play and sensory exploration.,"This gives your child varied physical and sensory input, which supports concentration afterwards. Let your child take the lead and follow their ideas, even when they are stranger than yours.","In a darkened room, explore light through coloured acetate or water. Light science + visual sensory exploration.",Sensory,10–15 min,"Torch, coloured acetate or water in bag",3y3m–3y6m,AOTA Sensory Integration; Ayres Sensory Integration framework; IAP
Independent Morning Routine,An activity that develops dressing independence.,"This develops the independence that starting school will require. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Wake, toilet, wash, dress, breakfast: child completes the entire sequence with minimal reminders. Executive function in action.",Self-Care & Adaptive,20–30 min,None,3y3m–3y6m,AOTA Activities of Daily Living; NAEYC Developmentally Appropriate Practice; IAP
Responsible One Chore,A hands-on challenge that builds independent eating and serving.,This develops the independence that starting school will require. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,"One daily chore owned completely: watering a plant, setting the table, feeding a pet. Responsibility + competence.",Self-Care & Adaptive,5–10 min,Chore-specific materials,3y3m–3y6m,AOTA Activities of Daily Living; NAEYC Developmentally Appropriate Practice; IAP
Over Moving Object,"A hands-on challenge that builds jumping, hopping and skipping.","At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Jump over a rolling ball. Timing a jump to a moving target is a higher motor planning demand than a stationary jump.,Gross Motor,5–10 min,Large ball,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Dribble Run,A play-based activity for strengthening running and agility.,"This builds coordination and control at exactly the point where a child can start to see their own improvement. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Bounce a ball continuously while walking, then while running. Dual-task automatisation: locomotion + ball control.",Gross Motor,10–15 min,Medium ball,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
One-Leg Balance,A hands-on challenge that builds balance and postural control.,"At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","8-second one-foot balance, eyes open. Begin introducing eyes-closed versions briefly.",Gross Motor,3–5 min,None,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Summersault Independently,A play-based activity for strengthening coordination and physical confidence.,This builds coordination and control at exactly the point where a child can start to see their own improvement. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.,"Forward roll without assistance. Head tuck, push-off, round-back landing. Proprioception and vestibular combined.",Gross Motor,3–5 min,Soft mat or rug,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Tandem Walk,An activity that develops balance and postural control.,"Physical confidence is being set now, and children who feel capable in their bodies at this age tend to stay active later. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Walk heel-to-toe in a straight line, arms out. Tandem walking tests balance in a constrained path.",Gross Motor,5–8 min,Tape line,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Gallop Music,A play-based activity for strengthening rhythm and coordinated movement.,"Physical confidence is being set now, and children who feel capable in their bodies at this age tend to stay active later. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Gallop to music, matching the tempo. Rhythmic locomotion: motor planning linked to auditory input.",Gross Motor,5–10 min,Music source,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Target Throwing,"A play-based activity for strengthening throwing, catching and hand-eye coordination.","At this age motor skills become more precise and more deliberate, and practice is what sharpens them. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Underhand toss into a basket from 1.5 m. Underhand vs overhand uses different arm mechanics -- both need practice.,Gross Motor,5–8 min,Ball and container,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Jumping Jacks,"A play-based activity for strengthening jumping, hopping and skipping.","This builds coordination and control at exactly the point where a child can start to see their own improvement. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Demonstrate jumping jacks and let child try. Coordinating arm and leg movement simultaneously -- hard at this age.,Gross Motor,3–5 min,None,3y6m–3y9m,WHO Physical Activity Guidelines (5–17); AAP Physical Activity; IAP
Letter Formation Practice,A hands-on challenge that builds pre-writing and letter formation.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.","Correct formation of letters A, B, C, D, E. Top-to-bottom and left-to-right directional habits built now last a lifetime.",Fine Motor,5–10 min,Pencil and paper,3y6m–3y9m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Watercolour Painting,A play-based activity for strengthening fine motor precision.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","Paint with watercolours, rinsing brush between colours. Controlling dilution and brush pressure = fine motor calibration.",Fine Motor,10–15 min,"Watercolours, brush, water, paper",3y6m–3y9m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Weaving,An activity that develops threading and precision.,"Children need strong, controlled hands before letter formation makes sense, and this builds exactly that. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",Simple over-under weaving on a cardboard loom. Alternating the direction of each row = pattern thinking in the hands.,Fine Motor,15–20 min,"Cardboard loom, yarn",3y6m–3y9m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Use Hole Punch,An activity that develops precision folding.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Resist correcting too quickly; a child who works something out slowly understands it better than one who is told.",Punch holes along the edge of paper to make a lacing card. Using a hole punch requires significant grip force.,Fine Motor,5–10 min,Hole punch and paper,3y6m–3y9m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Cut Spiral,A hands-on challenge that builds drawing control and shape copying.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Draw a spiral and cut along the line. The continuously changing direction is the most demanding cutting challenge yet.,Fine Motor,5–10 min,Child scissors and paper,3y6m–3y9m,AOTA Fine Motor Development; Handwriting Without Tears readiness framework; IAP
Thin Clay Snake,An activity that develops hand strength and modelling.,"This develops the hand strength and control that writing will demand, well before formal writing begins. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Roll clay into a long thin snake without breaking it. Fine pressure calibration -- too hard = flatten, too soft = break.",Fine Motor,5–10 min,Clay or atta dough,3y6m–3y9m,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Read Simple Sentences,An activity that develops phonological awareness.,"Children this age learn language best through genuine conversation rather than through being quizzed. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","Read 3-word sentences: 'The cat sat.' Sound each letter, blend. First independent reading = a landmark moment.",Language & Communication,5–10 min,Simple reader or card with sentences,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Write Simple Words,A hands-on challenge that builds vocabulary and description.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Let your child take the lead and follow their ideas, even when they are stranger than yours.","Write simple consonant-vowel-consonant words: cat, sit, big. Encoding = higher skill than decoding. Celebrate any attempt.",Language & Communication,5–10 min,Pencil and paper,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Use Adjectives Adverbs,A hands-on challenge that builds vocabulary and description.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.",The small brown dog ran quickly.' Describe objects and actions with modifiers -- vocabulary sophistication growing.,Language & Communication,Ongoing,None,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Tell Joke,A hands-on challenge that builds vocabulary and description.,"This builds the language your child will use to reason, explain and eventually read. Let your child take the lead and follow their ideas, even when they are stranger than yours.",Learn one simple joke and tell it to someone. Jokes require understanding that words can have two meanings -- abstract language.,Language & Communication,5–10 min,None,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
Listen Summarise,A hands-on challenge that builds early literacy.,"Vocabulary at this age is one of the strongest predictors of later reading, and it grows through talk and stories. Focus on the effort rather than the outcome, which is what keeps children willing to attempt hard things.","Read a short paragraph, then ask: 'What was it about? Say it in two sentences.' Summarising requires comprehension + language.",Language & Communication,5–10 min,Short paragraph from any book,3y6m–3y9m,ASHA Speech and Language Milestones; NCERT Foundational Literacy and Numeracy; IAP
